title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Phantom of the Opera,1943-08-12,en,Phantom of the Opera,"Pit violinist Claudin hopelessly loves rising operatic soprano Christine Dubois (as do baritone Anatole and police inspector Raoul) and secretly aids her career. But Claudin loses both his touch and his job, murders a rascally music publisher in a fit of madness, and has his face etched with acid. Soon, mysterious crimes plague the Paris Opera House, blamed on a legendary ""phantom"".",The screen's classic of terror!,"Horror, Romance, Drama, Music",english,"opera, musical, remake, gothic horror, technicolor, literary adaptation, stage musical, phantom of the opera"
Rollerball,2002-02-08,en,Rollerball,"In this fast action-packed thriller, Jonathan, Marcus, and Aurora compete in a dangerous, fierce sport called Rollerball. Although, Johnathan and Marcus try to quit, cruel and vindictive promoter Alexi Petrovich encourages them to still participate.",Go Ballistic,"Action, Science Fiction, Thriller","german, french, japanese, korean, russian, arabic, english","arena, sports, manager, dystopia, wrestling, roller-skating, motor sport, roller skating, future sport"
Frieda,1947-06-19,en,Frieda,"A young German girl marries an Englishman and moves into his family's household during the last days of World War II. The family and community have conflicting feelings about her presence in the community, and as a result, the family is forced to face their own moral code as they deal with their own prejudices and fears about the seemingly innocent German girl. The war ends, and she finally seems to be accepted into the family and community when her Nazi brother shows up to create havoc.",The film that puts the question - Would YOU take Frieda into YOUR Home?,"Drama, War",english,british noir
The Delta,1997-08-15,en,The Delta,"In Memphis, a middle-class white teenager and a black Vietnamese immigrant meet in a gay cruising spot and discover what they don't have in common.",The distance between two men is...,Drama,"english, vietnamese","interracial relationship, lgbt teen"
"No, No, Nanette",1930-01-03,en,"No, No, Nanette",A bible publisher is falling in love with a chorus girl and finds himself backing a Broadway show.,The Grandest Girl And Music Show In The History of Entertainment,"Comedy, Music",english,"based on play or musical, atlantic city, pre-code"
Local Boys,2002-02-23,en,Local Boys,"On Skeet’s twelfth birthday his older brother Randy buys him his first surfboard. Suddenly his summer turns to the endless search for the perfect wave, wild times and beach parties and eventually, finding his own daring adventures when Randy’s attention turns to a girl. Beyond his wildest dreams, Skeet is taken under the wings of surfing legend Jim Wesley who gives Skeet first-hand lessons in hot-dogging. Meanwhile, Randy, still dealing with the loss of his father and trying to fill his shoes, is jealous of Jim’s influence on Skeet and isn’t thrilled when Jim begins a relationship with their single mom. Tangled by the conflict between his brother and his newfound father figure, Skeet retreats to his room while longing to surf.",Dream The Extreme,Drama,english,surfing
Savage,2009-10-17,en,Savage,"On a summer day in the 1950s, a native girl watches the countryside go by from the backseat of a car. A woman at her kitchen table sings a lullaby in her Cree language. When the girl arrives at her destination, she undergoes a transformation that will turn the woman’s gentle voice into a howl of anger and pain.",A residential school musical,"Drama, Music",cree,"dance, indigenous, musical, tragedy, choreography, residential school, first nations, coping mechanisms, short film"
Demonoid: Messenger of Death,1981-02-27,en,Demonoid: Messenger of Death,"A British woman visits her husband at the Mexican mine he is attempting to reopen and discovers that the workers refuse to enter the mine, fearing an ancient curse. The couple enter the mine to prove there is no danger and inadvertently release a demon which possesses people's left hands and forces them to behave in a suitably diabolical manner.",Up from the depths of hell comes the ultimate horror!,Horror,"english, spanish","satanism, murder, devil, hand, severed hand, disembodied hand"
"Video Nasties: Moral Panic, Censorship & Videotape",2010-08-30,en,"Video Nasties: Moral Panic, Censorship & Videotape","A documentary analyzing the furore which so-called ""video nasties"" caused in Britain during the 1980s.",72 films that changed Britain forever.,Documentary,english,"media, sexuality, paranoia, politician, interview, conservative, director, britain, censorship, video nasty"
Russian Roulette,1975-08-20,en,Russian Roulette,"An RCMP officer is ordered to discreetly take a Russian immigrant into custody in advance of a state visit by the Soviet premier. When the prisoner is kidnapped, the officer is drawn into a complicated assassination scheme.",George Segal hangs tough...and plays the game with all the chambers loaded!,"Thriller, Crime, Drama",english,"cia, hitman, spy, soviet union, firearm, kgb, mafia, conspiracy, sniper rifle, explosion, christmas"
Bats,2018-08-12,en,Bats,A hazy night in Wellington is lit up with the pulsating colors and sounds of party people exploring their youth and freedom.,Party & bullshit,"Comedy, Drama",english,freedom
Stop-Zemlia,2022-09-14,uk,Стоп-Земля,"Hanging out with friends, smoking a lot, spinning bottles and kissing, making mistakes, playing, refusing to accept, dreaming with open eyes - life as a teenager can be overwhelmingly beautiful and difficult at the same time. In her debut, the Ukrainian director composes a deeply emotional and multi-layered portrait of a generation whilst seamlessly flowing between the fictional and the documental.","if you don't dare, you'll never know.",Drama,"english, italian, russian, ukrainian","high school, coming of age, kissing, teenage love, texting, teenage romance, teenage life, acceptance, ukraine"
Coogan's Bluff,1968-10-02,en,Coogan's Bluff,"Coogan, an Arizona deputy sheriff goes to New York to pick up a prisoner. While escorting the prisoner to the airport, he escapes and Coogan heads into the city to recapture him.",The man with no fear... takes on a killer with no pity... in a city with no heart.,"Action, Crime, Drama, Thriller",english,"new york city, escape, fish out of water, chrysler building, maverick cop, motorcycle chase, extradition, prisoner escort, fugitive suspect"
ZODIAC CRUSH,2023-02-05,en,ZODIAC CRUSH,"Zodiac Crush is a captivating reality TV movie that explores the fascinating world of astrology and numerology in the context of dating. The movie centers around a star bachelorette who is on a quest to find her soulmate, and she does so by dating five guys, each representing a unique star sign and life path number. Throughout the movie, the bachelorette goes on a series of dates and engaging challenges with her suitors, and viewers get to witness the highs and lows of each encounter. Along the way, the bachelorette receives expert guidance and predictions from astrology and numerology experts, Mike Anthony and Rachel Black, who help her navigate the complexities of compatibility based on star signs and numerology.","As the cosmos conspire, she risks everything for a chance at finding her Zodiac Crush.","Documentary, Comedy, Romance, Adventure, Drama",english,"bachelor, new age, love, dating, astrology, zodiac, finding love, traveling, dating show, numerology, dating competition, astrologer, matchmaker, bachelorette, reality competition, reality television, reality star, independent film, making friends, reality, reality show, zodiac signs, compatibility, funny documentary, astrology dating"
The King Who Invented Ballet,2015-08-13,en,The King Who Invented Ballet,"September 2015 marks the 300th anniversary of the death of King Louis XIV of France and this documentary looks at how Louis XIV not only had a personal passion and talent for dance, but supported and promoted key innovations, like the invention of dance notation and the founding of the world's first ballet school, that would lay the foundations for classical ballet to develop.",Louis XIV and the Noble Art of Dance,Documentary,english,ballet
Menantico Blues,2019-04-04,en,Menantico Blues,"Local interviews recall bizarre sightings in South Jersey during the 1970s and more reported decades later, including a gruesome tale from a group of friends deer hunting near the Menantico Ponds in December of 1995.",Lamb Legs Lives,"Crime, Horror, Comedy",English,local speciality
The Bowraville Murders,2021-09-02,en,The Bowraville Murders,"The epic David vs Goliath battle for justice waged by the families of three Aboriginal children murdered in a small rural town 30 years ago, the system that failed them, and what it reveals about racism in Australia today.",Justice is not colour blind,"Documentary, Crime",english,"child murder, unatoned crime, true crime, murder investigation, multiple murder, indigenous australians, australian aboriginal"
The Lie of A.I/,2023-08-31,en,The Lie of A.I.,"How much do we truly know about the technology we are creating? With the rise of Artificial Intelligence, or, A.I. There has been a rise in speculation, Theories, and beliefs about this so called ""Gift"".  Technology is not evil in of itself. However, is there a limit to how far humans should take technology? From electricity, to the Metaverse, where does or should this end?  In this Documentary, you will be shown the origins, advancements, and heavily debated future in this award-winning documentary",The Technology From Hell?,"Documentary, History",english,"artificial intelligence (a.i.), christian faith, chatgpt"
The Fist of Mormon,2016-01-22,en,The Fist of Mormon,"Joseph is an regular guy who loves watching kung fu movies when he is interrupted by a pair of disgruntled Mormons, Elder Parker and Elder Stone who take his displeasure as a queue to intervene.",ELDER PARKER AND ELDER STONE HAVE ONE MISSION. SPREAD THE WORD OF GOD ONE KUNG FU MOVE AT A TIME!,"Action, Comedy",english,"kung fu, b movie, mormon missionary"
Saltwater,2016-07-24,en,Saltwater,A group of lifeguards attempt to kill an atomic shark that is terrorizing the coast of San Diego.,THE COAST WILL BE TOAST,"TV Movie, Science Fiction, Action, Horror",english,"mutation, san diego, california, shark attack, nuclear radiation, shark"
The Iron Claw,1941-08-15,en,The Iron Claw,"The heirs of Anton Benson are searching Bensonhurst for hidden gold; they are joined by a reporter, a gangster...and a masked fiend known as The Iron Claw.","With flailing fists and blazing bullets, one man defies the fiendish law of the Iron Claw!","Action, Mystery",English,"movie serial, hidden fortune"
Midway,1976-06-18,en,Midway,"This war drama depicts the U.S. and Japanese forces in the naval Battle of Midway, which became a turning point for Americans during World War II.",A war's defining battle. A nation's defining moment.,"Action, Drama, History, War",english,"world war ii, u.s. navy, battle of midway, pacific war, soldier, american, pacific theater, sea battle, naval warfare, 1940s, naval battle"
Anthrax: Chile On Hell,2014-09-16,en,Anthrax - Chile On Hell,"""Chile On Hell"" was filmed at the Teatro Caupolican in Santiago, Chile on May 10, 2013, and features Anthrax - Joey Belladonna/vocals, Scott Ian/guitar, Charlie Benante/drums, Frank Bello/bass and Jon Donais/lead guitar. The band performed an extended set that featured songs from Anthrax's entire catalogue - all the fan-favorites including ""I Am The Law,"" ""Indians,"" ""Madhouse,"" ""Caught In A Mosh,"" ""The Devil You Know,"" and ""I'm Alive."" ""Santiago was the perfect place to film the show for this,"" said Anthrax's Charlie Benante. ""When we'd played there in the past, we'd finish our set, play our encore and go back to the dressing room. But every time, the fans would continue to scream and cheer and clap. I mean, they went on and on, they wouldn't stop. One time Scott and I walked out to the side of the stage just to watch what was going on in the audience, it was intense. Why wouldn't we want to film a DVD in front of an audience like that?",I AM THE WALKIN' DUDE,Music,english,"concert, heavy metal"
Universal Soldier,1992-07-10,en,Universal Soldier,"An American soldier who had been killed during the Vietnam War is revived 25 years later by the military as a semi-android, UniSols, a high-tech soldier of the future. After the failure of the initiative to erase all the soldier's memories, he begins to experience flashbacks that are forcing him to recall his past.",The future has a bad attitude.,"Thriller, Action, Science Fiction, Crime",english,"vietnam, revitalization, barrage, reporter, soldier"
Second-Hand Hearts,1981-05-08,en,Second-Hand Hearts,A boozy drifter tries to get to know the widow he married while on a bender.,A Recession Romance,Comedy,english,marriage
Giantess Battle Attack!,2022-10-20,en,Giantess Battle Attack!,"The beautiful, beastly Beverly returns and faces a new gaggle of gargantuan gals, hell bent on achieving deluxe diva domination. Get ready for the cinematic smackdown thrills of Giantess Battle Attack. Size really does matter.",Size Really Does Matter,"Science Fiction, Comedy, Horror",english,"sequel, kaiju, alien attack"
The Incredible Petrified World,1959-11-18,en,The Incredible Petrified World,When the cable breaks on their diving bell four people find themselves trapped in a hidden underwater world.,See women trapped in fantastic caverns at the center of Earth!,"Adventure, Science Fiction",english,"volcano, scuba diving, komodo dragon, underwater cave"
R-Point,2004-08-13,ko,알포인트,"On 07 January 1972, the South Korean base in Nah-Trang, Vietnam, receives a radio transmission from a missing platoon presumed dead.",He who sheds others' blood will not return... NOT EVEN HIS SOUL...,"Action, History, Horror","english, french, korean, vietnamese","vietnam war, vietnam, tombstone, soldier, korean army"
Twin Beds,1942-04-30,en,Twin Beds,"Mike Abbott just wants to spend a quiet evening at home with his wife, but her collection of zany friends make hash of his hopes.",YOU'LL ROAR WHEN TWIN BEDLAM BREAKS LOOSE!,Comedy,english,"husband wife relationship, misunderstanding"
Ride Along 2,2016-01-14,en,Ride Along 2,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",The brothers-in-law are back,"Action, Comedy",english,"police, family relationships, sequel, police officer, misadventure, buddy film"
She Knew All the Answers,1941-05-13,en,She Knew All the Answers,Chorus girl and rich playboy want to marry but he'll lose his fortune unless his trustee approves of his mate. So she goes to work in the trustee's brokerage firm under an assumed name to get on his good side but complications ensue.,"...AND SOME OF THEM WERE ""YES""!",Comedy,english,"chorus girl, office romance, assumed name"
Death Game,1996-09-21,en,Death Game,A group of friends are forced to fight to the death in order to gain their freedom.,Death is the only escape.,"Action, Thriller, Science Fiction","english, russian","future, los angeles, california, fight to the death, humanoid"
Jessica,1962-04-19,en,Jessica,"When the men of a Sicilian village start obsessing over ravishing blonde midwife Jessica, angry females revolt by refusing to have sex with their husbands. As the local priest tries to encourage procreation, Jessica falls for a tricky recluse.",She's a Honeyhaired Dish of Dynamite - Who Explodes Joy On the Screen!,"Romance, Comedy",english,"sicily, italy, romance"
Goodbye Again,1961-05-23,en,Goodbye Again,"Middle-aged businesswoman Paula Tessier resists the advances of Philip Van der Besh, the 24-year-old son of one of her clients. But when her longtime paramour, Roger Demarest, begins yet another casual affair with a younger woman, Paula decides that two can play that game. However, it seems that society looks differently at May-December romances when the woman is the older partner.",This is how love is...and always will be...,"Drama, Romance","english, french","paris, france, older woman younger man relationship"
Love Exchange,2001-01-01,en,Love Exchange,"Jackie and Ben move into a luxurious new home in the affluent neighborhood of Verdana Hills. They are immediately welcomed and befriended by their sexy new neighbor Lizelle and invited to a pool party to meet the rest of the neighbors in the complex. After meeting Lizelle’s husband Lorenzo at the pool gathering, Ben is invited and told about a “sexual card game” that allows everyone in the complex to discard their marital inhibitions. Soon both Jackie and Ben are pulled into a world of swingers and lurid sex that threatens the very fibers of their relationship.",Come play the game...,"Drama, Romance",english,"married couple, block party, neighbor, erotic movie"
Once Upon a Time in Tombstone,2021-02-16,en,Once Upon a Time in Tombstone,"This movie delivers all of the great characters you would expect in a film about Tombstone. The Earp Brothers, The Clanton Brothers, Doc Holliday, Johnny Ringo etc. and great gunfights. What the film delivers, is a multitude of pieces of the puzzle that complete the story, not just about why the gunfight happened but the real history about what led up to it",Where justice were served from the barrel of a gun.,Western,english,"wyatt earp, doc holliday, gunfighter, tombstone arizona, ok corral"
Attack of the Gnome,2009-07-17,en,Attack of the Gnome,"This Me, Isaiah, Dakota, Caleb, Chris, in a forest being picked off one by one by a mysterious predator.","Dude, stop eating my Corn Nuts","Adventure, Horror, Action",english,"found footage, gnome"
Saving Norman,2013-05-25,en,Saving Norman,"Saving Norman tells the story of a hypochondriac ex-ping pong player who missed the biggest tournament of his career because of a cold. Now years later he lives a hermetic existence with his parrot Norman. But, when Norman seems to be suffering from a case of bird narcolepsy he calls in pet psychic Belinda who soon realizes that in order to help Norman, she'll first have to help his owner.",It isn't about the winning. It's the never taking part that counts.,"Comedy, Drama",english,"hypochondriac, woman director"
Eccentric: Part Deux,2024-07-25,en,Eccentric: Part Deux,The Story Continues....,We are not enemies or friends.,"Drama, Thriller, Horror",english,"gun, fbi, tragedy, fbi agent, chase scene, shot to death"
Remember the Wife of Lot,2017-06-22,en,Remember the Wife of Lot,"The warning Jesus gave nearly 2,000 years ago is more important than ever. See how Brian and Gloria learn to protect their family from the dangers Jesus warned about.",Remember the Wife of Lot,"Family, Comedy, Drama",english,"jehovah's witness, christian, religious, jehovah, jw, funny"
Too Hot to Handle,1960-12-01,en,Too Hot to Handle,A French reporter working on a steamy story about the secret strip joints found in London's Soho district becomes involved in the lives of the owner and star of a famous club.,The sizzler you read about in Playboy magazine! It strips the secrets from the intimate key clubs.,"Crime, Drama",english,"robbery, gangster, burlesque"
A Life Too Short,2021-01-22,en,A Life Too Short,"Social media superstar Qandeel Baloch pushed boundaries in conservative Pakistan like no other. In 2016, high on her newfound celebrity, Qandeel exposes a well-known Muslim cleric – with tragic results.",Qandeel Baloch's bravery brought her fame and changed Pakistani law forever.,Documentary,"english, urdu","patriarchy, violence against women, pakistan, murder, religion, cleric, pakistani culture"
Spanish Fly,1976-02-01,en,Spanish Fly,"British sex comedy. Sir Percy de Courcy accidentally turns some poor tasting wine into an aphrodisiac when his old school chum, Mike Scott arrives with a photographer and several gorgeous models.",The Comedy Aphrodisiac,Comedy,english,"sex comedy, innuendo"
Future Fear,1997-12-01,en,Future Fear,An able-bodied scientist has found a cure for the plague from outer space which has eradicated almost all life on the planet. A mad general who wants to repopulate the planet with a new race sends a special female assassin to take him out.,Only one man can save the world on the brink of destruction.,"Action, Science Fiction",english,"future, nazi, female assassin, scientist, virus"
Body Melt,1994-10-28,en,Body Melt,"Residents of peaceful Pebbles Court, Homesville, are being used unknowingly as test experiments for a new 'Body Drug' that causes rapid body decomposition (melting skin etc.) and painful death.",The first phase is hallucinogenic... the second phase is glandular... and the third phase is... BODY MELT,"Comedy, Horror, Science Fiction",english,"australia, pregnancy, mutant, transformation, car crash, resort, drugs, decomposition, melt"
The Harvesting,2018-12-06,en,The Harvesting,"To escape their marital problems, a young family travels from the city to spend the summer in Amish Country where a malevolent presence grips them. They soon discover that they were brought there for a reason and they must break free before the demonic hold consumes them.",The solstice is coming,"Thriller, Horror",english,"amish, woods, axe murder, solstice"
LEGACY,2024-04-22,en,LEGACY,"It has been described as a once in a generation piece of environmental legislation and is key to the government’s commitment to be the first generation to leave the environment in a better state than that in which we found it.  The Environment Act passed into law on 9 November 2021 – more than 1,000 days and three Parliaments since its first draft was published in 2018. Its journey was tumultuous, and its fate, at times uncertain.  In this documentary, ENDS Report speaks to politicians and environmental policy experts to get the inside story on how this landmark piece of legislation was created – and finds out what the act’s architects think of it now.",How the Environment Act was made... and what its architects think of it now,Documentary,english,"parliament, environment, british politics, environmental law, british government, uk, environmental documentary, protecting the environment"
BlacKkKlansman,2018-08-09,en,BlacKkKlansman,"Colorado Springs, late 1970s. Ron Stallworth, an African American police officer, and Flip Zimmerman, his Jewish colleague, run an undercover operation to infiltrate the Ku Klux Klan.",Infiltrate hate.,"Comedy, Crime, Drama",english,"based on novel or book, ku klux klan, 1970s, black panther party, biography, based on true story, undercover cop, racism, based on memoir or autobiography, revisionist history, white supremacy"
Mother-Daughter Exchange Club 57,2019-03-22,en,Mother-Daughter Exchange Club 57,Moms and their daughters mix with other romance-minded mom-daughter pairs when they join Mother-Daughter Exchange Club.,Mother Knows Best!,Romance,english,"lesbian sex, milf, older woman younger woman relationship, mother daughter relationship"
Snow Blinded,2022-10-01,en,Snow Blinded,"Shawn (Michael Masurkevitch) and Manny (Mandip Brar) are spending the weekend at Shawn's family cabin. However, as the past and present begin to overlap, Shawn descends into horrific madness...",There's no preparing for this trip,"Thriller, Horror, Drama",english,"winter, forest, snow, body horror, snow blinded"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.",The hot-line suspense comedy.,"Drama, Comedy, War",english,"usa president, general, cold war, strategic air command, dark comedy, nuclear missile, satire, black and white, war room, bomber pilot, nuclear weapons, ex-nazi, anti war, doomsday device, absurdism, provocative, bold"
Shirts/Skins,1973-10-09,en,Shirts/Skins,Six businessmen who have a weekly after-hours basketball game get caught up in a bet about a hide-and-seek contest.,A wild comedy that gets wilder and wilder! When the Shirts team swipe Teddy's wife and cop Benny's private files...The Skins team shanghai Axelrod's mother and pinch Dr. Murphy's dental chair.,"Comedy, TV Movie",english,"bet, basketball, group of friends"
Turk 182!,1985-02-15,en,Turk 182!,"After New York City firefighter Terry Lynch is unable to receive any compensation for an injury incurred during the off-duty rescue of a young girl, he grows suicidal. Furious, his brother Jimmy attempts to have Mayor Tyler intervene, but the corrupt politician instead denounces Terry as a drunk. Determined to get justice, Jimmy begins a graffiti campaign of embarrassing slogans mocking the mayor, which soon captivates the city.",Turk 182 Strikes Again! Mystery rebel has millions cheering!,"Action, Comedy, Drama",english,"new york city, police, politics, subway, mayor, graffiti, bridge, scandal, drinking, manhattan, new york city, news, firefighter"
WWE Royal Rumble 1995,1995-01-22,en,WWE Royal Rumble 1995,"The 1995 WWE Royal Rumble took place on January 22, 1995, in the USF Sun Dome located in Tampa, Florida. Superstars compete in the annual Royal Rumble Match, with the winner advancing to WrestleMania for an opportunity at the WWF Championship! Shawn Michaels, Lex Luger, The British Bulldog, and more compete in the over-the-top-rope elimination match. Diesel battles Bret Hart with the WWF Championship on the line.",30 Men! One Winner! Somethin's Gotta Give!,"Action, Drama",english,wrestling
Last of the Mobile Hot Shots,1970-01-14,en,Last of the Mobile Hot Shots,A new bride gets caught between her decadent husband and his black half-brother.,"When she married Jeb Stuart Thompson, she didn't know what was expected of her. Now she knew.",Drama,english,"mississippi river, all girl band"
Wishmaster 4: The Prophecy Fulfilled,2002-06-10,en,Wishmaster 4: The Prophecy Fulfilled,"The unspeakable evil of the soul-devouring djinn rises again in this fourth electrifying installment of the unstoppable Wishmaster horror legacy! But now, as a host of new victims see their most nightmarish wishes come true, the world faces the ultimate demonic terror: an onslaught of multiple djinns hell-bent on destroying everything in their path!",Leave no soul unturned.,"Horror, Fantasy",english,"wheelchair, hell, sequel, death"
Black & White & Sex,2012-01-27,en,Black & White & Sex,"Prostitute. Hooker. Sex Worker. Whore. Candid and seductive, Angie is determined to set the record straight about sex. As she reveals herself, layer-by-layer, she also exposes the man who is interviewing her. Sometimes provocative and confronting, sometimes tender, poignant and sexy, Black &amp; White &amp; Sex takes you behind the scenes and into Angies very special world. There's a question here for every man and an answer for every woman. Anyone who pays is welcome - but leave your expectations at the door sex is never black and white. Written by Angie Winter",Sex is never black or white,Drama,english,"eroticism, prostitution"
The Magic Behind 'd'ILLUSION: The Houdini Musical - The Audio Theater Experience',2020-12-20,en,The Magic Behind 'd'ILLUSION: The Houdini Musical - The Audio Theater Experience',"A special behind-the-scenes look at the making of the audiobook edition of ""d'ILLUSION: The Houdini Musical"" and how it did its part in helping keep theater and the arts alive during the COVID-19 pandemic.",Pushing the boundaries of musical theater to invent an exciting new art form.,"Documentary, Music",english,"quarantine, making of, broadway musical, pandemic, houdini, musical theatre, covid-19, virtual audio, documentary short"
Viva Villa!,1934-04-27,en,Viva Villa!,"In this fictionalized biography, young Pancho Villa takes to the hills after killing an overseer in revenge for his father's death.","...TOO BIG FOR HOLLYWOOD...it was dramatized in the heart of Mexico, with a cast of thousands!",Western,english,"biography, pre-code, pancho villa"
Once Upon a Time in... Hollywierd,2022-06-10,en,Once Upon a Time in... Hollywierd,"Actor Rick Smiley Dolphin gained fame and fortune by starring in triple X films but now he struggles to find meaningful work in Hollywierd. He spends most of his time licking lollipops with Cliff Power Boost, his easygoing best friend and longtime sex body double. Rick also happens to live next door to Roman Polanowski’s son and Shannon Tattoo -- the another porn star and promising actress whose future will forever be altered by members of the Charlie Don’t Even Mention and his Family.",Cliff is his body double. He finishes what Rick... starts.,Comedy,English,parody
Battles Bouts and Brawls: The Story of Pro Wrestling in Detroit and the Surrounding Areas,2014-05-26,en,Battles Bouts and Brawls: The Story of Pro Wrestling in Detroit and the Surrounding Areas,"A documentary spanning the decades of wrestling in the metro Detroit area from the 1950s through today with interviews and segments with the legends and greats of yesterday, today and tomorrow.",This is the story that has been decades in the making. Filled with extras galore.,Documentary,english,pro wrestling
Promises! Promises!,1963-08-01,en,Promises! Promises!,"After a drunken spree on a cruise ship, two women discover that they're pregnant, and set out to find who the fathers are.",You Read About Her In Playboy Magazine...Now See All Of Jayne Mansfield!,"Comedy, Romance",english,"dancing, pregnancy, cruise ship"
Clamps,2018-06-15,en,Clamps,"A town is terrorized by killer clamps! It's up to the chief of police, a scientist and the girl next door to stop this nightmare.",FEAR THE CLAMPS,"Horror, Comedy",english,"satire, massacre, killer, sketch comedy, clamp, inanimate objects come to life, short film"
The Education of Dee Dee Ricks,2011-05-01,en,The Education of Dee Dee Ricks,The story of one woman's mission to defeat cancer and help others do the same.,Two women. One diagnosis. Different journeys.,Documentary,english,woman director
Sensation Seekers,1927-03-21,en,Sensation Seekers,"Ray Sturgis, leader of the fashionable Long Island jazz set, is engaged to ""Egypt"" Hagen, an up-to-date girl in every respect. Egypt is arrested at a roadhouse raid, and at her mother's bidding, the Reverend Norman Lodge arranges for her freedom. At a fancy-dress ball, when Ray wears a costume made of newspaper headlines concerning her arrest, Egypt is offended. Seen constantly in the company of Reverend Lodge, her reputation causes church people to take up the matter with the bishop.",SHE'S THE GIRL OF A THOUSAND THRILLS!,"Romance, Drama",no language,"moral conflict, religion, woman director, 1920s"
Five Easy Pieces,1970-09-12,en,Five Easy Pieces,"A drop-out from upper-class America picks up work along the way on oil-rigs when his life isn't spent in a squalid succession of bars, motels, and other points of interest.",He rode the fast lane on the road to nowhere.,Drama,english,"musician, diner, road trip, hitchhiker, drifter, class differences, washington state, oil field, rebelliousness"
The Final Alliance,1990-06-30,en,The Final Alliance,A drifter and his pet puma stand up against a motorcycle gang in a small American town.,Justice is about to hit town... with a vengeance.,"Action, Drama",english,"texas, south africa, johannesburg south africa, puma, biker, revenge, sexploitation, gang, b movie, drifter, cougar, motorcycle gang"
Bring It On: Cheer Or Die,2022-09-27,en,Bring It On: Cheer Or Die,"When a cheer squad practices their routines on Halloween weekend in an abandoned school, they are picked off one by one by an unknown killer.",Bring on the thrills. Bring on the kills. Bring on the cheer.,"Thriller, Horror, Comedy, TV Movie",english,slasher
The Thing About Beecher's Gate,2018-10-21,en,The Thing About Beecher's Gate,"By order of the sheriff, a freshly transferred deputy must spend the night in a remote shed with only a flashlight, a shotgun, and a promise that he's fulfilling the oldest tradition in Beecher's Gate.",Every small town has its traditions. This just happens to be a kooky one.,Horror,English,"sheriff, monster, shotgun, assault, siege, deputy, woods, cabin, cabin in the woods, small town sheriff, cloak, mysterious, 1980s, secluded, sheet, shed"
The Boy with Green Hair,1948-11-26,en,The Boy with Green Hair,"Peter, an orphaned boy, is adopted by Gramp Frye after his parents are killed in Europe while doing war relief work. The boy feels safe with his new caretaker, but when he is taunted for being an orphan, he gets demoralized. The next day Peter wakes up with green hair. Embarrassed and further ridiculed, Peter seeks solace in a nearby forest. To his surprise, he finds other orphans in the woods, who encourage him to spread news of the injustices of war.",Please don't tell why his hair turned green!,"Drama, Comedy, Family",english,hair
Tigershark,1987-11-01,en,Tigershark,A martial arts instructor sets out to rescue his girlfriend who is being held for ransom by a South American warlord.,A corrupt regime... a violated woman... a one man army who wants her back.,Action,english,"vietnam veteran, martial arts, kidnapping, drug trafficking, revenge, jungle, martial arts master"
Babysitters,2007-09-28,en,Babysitters,"Babysitters is a sexually charged, real-life story about the mesmerizing effect babysitters have on different people. Babysitters hosts an incredible roster of stars. Behind the manicured lawns and the double French doors, sexy babysitters are doing what they do best and it has NOTHING to do with babies!","Knock, knock... ""Honey the babysitter is here.""",Comedy,english,babysitter
Top o' the Morning,1949-08-31,en,Top o' the Morning,A singing insurance investigator comes to Ireland to recover the stolen Blarney Stone...and romance the local policeman's daughter.,"BING 'n' BARRY Together Again...For More Songs, More Fun Than ""Going My Way"" and ""Welcome Stranger""",Comedy,english,"village, romance, ireland, blarney stone"
Boston Strangler,2023-03-17,en,Boston Strangler,"Reporters Loretta McLaughlin and Jean Cole bravely pursue the story of the Boston Strangler at great personal risk, putting their own lives on the line in their quest to uncover the truth.",Inspired by a true story,"Crime, Mystery, Thriller",english,"journalist, boston, massachusetts, journalism, based on true story, serial killer, true crime, female journalist, investigative journalism, 1960s"
The Party's Over,1965-04-22,en,The Party's Over,"This once controversial British movie that was filmed in ‘62 but released in ‘65 involves the fiancé of a depressed American heiress searching for her whereabouts amongst the Chelsea “beatnik” scene. Answers are hard to come by from the nihilistic hedonist youth that know her - but they provide mysterious hints to wild parties, sex, death and necrophilia.","A NEW thriller from the director of ""Goldfinger""",Drama,english,"london, england, beatnik"
The Fan,1996-08-15,en,The Fan,"When the San Francisco Giants pay center-fielder, Bobby Rayburn $40 million to lead their team to the World Series, no one is happier or more supportive than #1 fan, Gil Renard.  When Rayburn becomes mired in the worst slump of his career, the obsessed Renard decides to stop at nothing to help his idol regain his former glory—not even murder.",All fans have a favorite player.  This one has a favorite target.,"Thriller, Action",english,"sports, luck, child custody, baseball pitcher, baseball fan, psychotic fan, sports agent, driving range, steam room"
